             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1880894     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880891     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880888     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880887     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880711     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880709     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880707     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880704     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880701     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880698     short a3f2c9bf  jjg9482 PD       0:00      1 (Dependency)
           1880521     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880518     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880516     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880513     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880510     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880509     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880506     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880502     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880499     short 5a921187  jjg9482 PD       0:00      1 (Dependency)
           1880287     short 5487ce1e  jjg9482 PD       0:00      1 (Dependency)
           1880284     short 5487ce1e  jjg9482 PD       0:00      1 (Dependency)
           1880281     short 5487ce1e  jjg9482 PD       0:00      1 (Dependency)
           1880277     short 5487ce1e  jjg9482 PD       0:00      1 (Dependency)
           1880276     short 5487ce1e  jjg9482 PD       0:00      1 (Dependency)
           1878904     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878903     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878902     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878900     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878899     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878703     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1878666     short 259f4329  jjg9482 PD       0:00      1 (Dependency)
           1876693     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
           1876691     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
           1876690     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
           1876689     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
           1876688     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
           1876687     short fcbd04c3  jjg9482 PD       0:00      1 (Dependency)
